report_year,division,category,subtype,count,count_
2022,D23,Crimes Against Property,Break & Enter-Other,7,7
2015,D13,Crimes Against Property,Break & Enter-Apartment,1,1
2017,D43,Crimes Against Property,Break & Enter-Other,1,1
2019,D33,Crimes Against Property,Break & Enter-Commercial,2,2
2021,D53,Crimes Against Property,Break & Enter-Commercial,3,3
2022,D55,Crimes Against Property,Break & Enter-Commercial,3,3
2015,D31,Crimes Against Property,Auto Theft,11,11
2016,D53,Crimes Against Property,Break & Enter-House,7,7
2016,NSA,Crimes Against Property,Theft Under $5000,2,2
2017,D53,Crimes Against Property,Theft Over $5000,2,2
2017,D55,Crimes Against Property,Fraud,17,17
2018,D53,Crimes Against Property,Break & Enter-House,1,1
2016,D42,Crimes Against Property,Break & Enter-Apartment,1,1
2023,D53,Crimes Against Property,Auto Theft,22,22
2016,D53,Crimes Against Property,Fraud,15,15
2023,D22,Crimes Against Property,Theft Over $5000,1,1
2016,NSA,Crimes Against Property,Other,2,2
2017,D53,Crimes Against Property,Break & Enter-Other,1,1
2014,D55,Crimes Against Property,Theft Over $5000,1,1
2017,D12,Crimes Against Property,Break & Enter-Apartment,2,2
2021,D23,Crimes Against Property,Fraud,5,5
2014,D11,Crimes Against Property,Break & Enter-House,2,2
2020,D12,Crimes Against Property,Break & Enter-House,7,7
2021,D53,Crimes Against Property,Break & Enter-House,3,3
2020,D51,Crimes Against Property,Break & Enter-Other,1,1
2014,D41,Crimes Against Property,Break & Enter-Apartment,6,6
2015,D55,Crimes Against Property,Theft Under $5000,14,14
2022,D12,Crimes Against Property,Break & Enter-House,4,4
2018,NSA,Crimes Against Property,Fraud,1,1
2016,D41,Crimes Against Property,Auto Theft,9,9
2020,D11,Crimes Against Property,Theft Over $5000,9,9
2015,D31,Crimes Against Property,Theft Under $5000,6,6
2015,D33,Crimes Against Property,Break & Enter-Apartment,4,4
2020,D55,Crimes Against Property,Break & Enter-Commercial,2,2
2018,D33,Crimes Against Property,Auto Theft,11,11
2021,D14,Crimes Against Property,Fraud,1,1
2017,D42,Crimes Against Property,Break & Enter-Apartment,7,7
2020,D12,Crimes Against Property,Break & Enter-Commercial,2,2
2020,D22,Crimes Against Property,Break & Enter-Commercial,6,6
2023,D53,Crimes Against Property,Break & Enter-Other,2,2
2018,D33,Crimes Against Property,Auto Theft,7,7
2022,D41,Crimes Against Property,Fraud,37,37
2021,D31,Crimes Against Property,Auto Theft,9,9
2020,D23,Crimes Against Property,Fraud,6,6
2016,D32,Crimes Against Property,Auto Theft,33,33
2017,D41,Crimes Against Property,Break & Enter-Other,1,1
2016,D32,Crimes Against Property,Auto Theft,7,7
2020,D11,Crimes Against Property,Break & Enter-Other,3,3
2023,D41,Crimes Against Property,Fraud,2,2
2020,D55,Crimes Against Property,Theft Over $5000,2,2
2022,D51,Crimes Against Property,Other,1,1
2022,D42,Crimes Against Property,Theft Over $5000,1,1
2023,D32,Crimes Against Property,Break & Enter-Apartment,1,1
2015,D13,Crimes Against Property,Break & Enter-Apartment,6,6
2016,D14,Crimes Against Property,Break & Enter-Commercial,15,15
2018,D12,Crimes Against Property,Theft Over $5000,2,2
2023,D22,Crimes Against Property,Break & Enter-House,1,1
2023,D42,Crimes Against Property,Theft Over $5000,3,3
2019,D23,Crimes Against Property,Theft Over $5000,2,2
2017,D52,Crimes Against Property,Other,1,1
2018,D51,Crimes Against Property,Theft Over $5000,6,6
2017,D33,Crimes Against Property,Break & Enter-Other,1,1
2021,D32,Crimes Against Property,Break & Enter-Commercial,2,2
2021,D43,Crimes Against Property,Break & Enter-Other,4,4
2019,D22,Crimes Against Property,Break & Enter-Commercial,2,2
2017,D23,Crimes Against Property,Break & Enter-House,10,10
2021,D23,Crimes Against Property,Auto Theft,5,5
2018,D23,Crimes Against Property,Auto Theft,1,1
2014,D55,Crimes Against Property,Fraud,1,1
2015,D55,Crimes Against Property,Auto Theft,11,11
2014,D52,Crimes Against Property,Break & Enter-Other,3,3
2022,D14,Crimes Against Property,Auto Theft,1,1
2015,D22,Crimes Against Property,Theft Over $5000,6,6
2019,D53,Crimes Against Property,Break & Enter-Other,5,5
2017,D41,Crimes Against Property,Break & Enter-Apartment,7,7
2023,D12,Crimes Against Property,Break & Enter-Other,1,1
2023,D13,Crimes Against Property,Theft Over $5000,2,2
2021,D53,Crimes Against Property,Theft Over $5000,3,3
2019,D33,Crimes Against Property,Theft Under $5000,9,9
2023,D53,Crimes Against Property,Fraud,17,17
2019,D41,Crimes Against Property,Break & Enter-House,1,1
2018,D43,Crimes Against Property,Theft Over $5000,1,1
2019,D22,Crimes Against Property,Break & Enter-House,5,5
2023,D11,Crimes Against Property,Other,10,10
2018,D23,Crimes Against Property,Break & Enter-Commercial,5,5
2023,D53,Crimes Against Property,Fraud,1,1
2020,D11,Crimes Against Property,Theft Over $5000,4,4
2019,D51,Crimes Against Property,Fraud,2,2
2023,D32,Crimes Against Property,Auto Theft,32,32
2015,D14,Crimes Against Property,Theft Under $5000,1,1
2019,D53,Crimes Against Property,Theft Under $5000,5,5
2023,D53,Crimes Against Property,Auto Theft,57,57
2023,D43,Crimes Against Property,Break & Enter-Commercial,1,1
2020,D55,Crimes Against Property,Theft Over $5000,2,2
2017,D14,Crimes Against Property,Break & Enter-Other,2,2
2020,D22,Crimes Against Property,Theft Over $5000,4,4
2021,D23,Crimes Against Property,Break & Enter-Apartment,1,1
2016,D41,Crimes Against Property,Break & Enter-Other,3,3
2016,D51,Crimes Against Property,Theft Under $5000,1,1
2016,D42,Crimes Against Property,Theft Over $5000,2,2
2018,D32,Crimes Against Property,Fraud,35,35
2015,D43,Crimes Against Property,Fraud,2,2
2021,D22,Crimes Against Property,Theft Over $5000,7,7
2018,D43,Crimes Against Property,Break & Enter-Apartment,1,1
2021,D53,Crimes Against Property,Break & Enter-Other,4,4
2018,D41,Crimes Against Property,Fraud,11,11
2018,D33,Crimes Against Property,Theft Over $5000,6,6
2022,D53,Crimes Against Property,Break & Enter-Commercial,1,1
2019,D32,Crimes Against Property,Break & Enter-Other,3,3
2019,D22,Crimes Against Property,Auto Theft,9,9
2017,D32,Crimes Against Property,Auto Theft,26,26
2015,D55,Crimes Against Property,Break & Enter-Commercial,1,1
2023,D12,Crimes Against Property,Break & Enter-Commercial,3,3
2016,D14,Crimes Against Property,Break & Enter-House,14,14
2014,D23,Crimes Against Property,Break & Enter-Other,1,1
2022,D12,Crimes Against Property,Theft Over $5000,5,5
2020,D22,Crimes Against Property,Fraud,29,29
2014,D13,Crimes Against Property,Auto Theft,4,4
2022,D33,Crimes Against Property,Break & Enter-Commercial,2,2
2021,D53,Crimes Against Property,Theft Over $5000,2,2
2015,D32,Crimes Against Property,Break & Enter-Other,1,1
2015,D32,Crimes Against Property,Auto Theft,8,8
2014,D11,Crimes Against Property,Theft Under $5000,1,1
2019,D51,Crimes Against Property,Auto Theft,2,2
2020,D11,Crimes Against Property,Theft Over $5000,3,3
2015,D32,Crimes Against Property,Break & Enter-House,15,15
2022,D55,Crimes Against Property,Theft Over $5000,4,4
2014,D43,Crimes Against Property,Theft Over $5000,1,1
2015,D13,Crimes Against Property,Break & Enter-Commercial,1,1
2014,D14,Crimes Against Property,Break & Enter-Other,1,1
2014,D53,Crimes Against Property,Theft Over $5000,2,2
2023,D32,Crimes Against Property,Break & Enter-Other,2,2
2014,D31,Crimes Against Property,Break & Enter-Apartment,1,1
2019,D51,Crimes Against Property,Break & Enter-House,3,3
2014,D23,Crimes Against Property,Break & Enter-Apartment,1,1
2014,D22,Crimes Against Property,Theft Over $5000,3,3
2023,D53,Crimes Against Property,Other,1,1
2017,D22,Crimes Against Property,Break & Enter-Apartment,1,1
2018,D33,Crimes Against Property,Break & Enter-House,36,36
2018,D32,Crimes Against Property,Break & Enter-House,8,8
2020,D32,Crimes Against Property,Break & Enter-Commercial,3,3
2015,D31,Crimes Against Property,Break & Enter-Other,1,1
2023,D32,Crimes Against Property,Theft Over $5000,4,4
2016,D23,Crimes Against Property,Other,4,4
2022,D51,Crimes Against Property,Break & Enter-Commercial,6,6
2022,D33,Crimes Against Property,Break & Enter-House,3,3
2020,D55,Crimes Against Property,Break & Enter-House,12,12
2023,D55,Crimes Against Property,Break & Enter-Apartment,2,2
2022,D55,Crimes Against Property,Break & Enter-Commercial,2,2
2021,D33,Crimes Against Property,Auto Theft,14,14
2020,D52,Crimes Against Property,Theft Over $5000,1,1
2021,NSA,Crimes Against Property,Theft Under $5000,1,1
2019,D55,Crimes Against Property,Break & Enter-Commercial,1,1
2023,D31,Crimes Against Property,Break & Enter-Other,2,2
2022,D23,Crimes Against Property,Theft Over $5000,1,1
2016,D14,Crimes Against Property,Theft Over $5000,6,6
2018,D53,Crimes Against Property,Fraud,14,14
2016,D32,Crimes Against Property,Auto Theft,7,7
2016,D33,Crimes Against Property,Auto Theft,7,7
2022,D53,Crimes Against Property,Fraud,3,3
2019,D41,Crimes Against Property,Break & Enter-Other,1,1
2019,D14,Crimes Against Property,Break & Enter-Apartment,4,4
2021,D11,Crimes Against Property,Break & Enter-Apartment,6,6
2014,D41,Crimes Against Property,Theft Over $5000,1,1
2021,D53,Crimes Against Property,Break & Enter-Other,2,2
2023,D22,Crimes Against Property,Theft Over $5000,3,3
2018,D52,Crimes Against Property,Auto Theft,1,1
2017,D14,Crimes Against Property,Theft Over $5000,7,7
2020,D32,Crimes Against Property,Fraud,1,1
2018,D33,Crimes Against Property,Auto Theft,1,1
2017,D43,Crimes Against Property,Break & Enter-House,5,5
2020,D55,Crimes Against Property,Auto Theft,7,7
2023,D41,Crimes Against Property,Theft Over $5000,10,10
2021,D12,Crimes Against Property,Break & Enter-Apartment,1,1
2023,D13,Crimes Against Property,Break & Enter-Apartment,3,3
2021,D14,Crimes Against Property,Fraud,10,10
2017,D33,Crimes Against Property,Fraud,1,1
2021,D33,Crimes Against Property,Other,1,1
2020,D42,Crimes Against Property,Auto Theft,20,20
2015,D53,Crimes Against Property,Auto Theft,1,1
2023,D55,Crimes Against Property,Theft Over $5000,4,4
2023,D22,Crimes Against Property,Break & Enter-Commercial,6,6
2022,D12,Crimes Against Property,Fraud,17,17
2016,D41,Crimes Against Property,Auto Theft,2,2
2019,D23,Crimes Against Property,Break & Enter-Commercial,4,4
2022,D23,Crimes Against Property,Fraud,1,1
2016,D51,Crimes Against Property,Auto Theft,3,3
2018,D41,Crimes Against Property,Break & Enter-Other,1,1
2019,D55,Crimes Against Property,Break & Enter-Apartment,2,2
2019,D43,Crimes Against Property,Break & Enter-House,9,9
2023,D12,Crimes Against Property,Auto Theft,23,23
2017,D31,Crimes Against Property,Break & Enter-Commercial,2,2
2023,D14,Crimes Against Property,Break & Enter-House,10,10
2016,D53,Crimes Against Property,Break & Enter-Apartment,1,1
2023,D12,Crimes Against Property,Theft Over $5000,4,4
2020,D43,Crimes Against Property,Theft Over $5000,1,1
2014,D32,Crimes Against Property,Theft Over $5000,4,4
2017,D53,Crimes Against Property,Auto Theft,1,1
2022,D52,Crimes Against Property,Break & Enter-Other,8,8
2020,D53,Crimes Against Property,Theft Over $5000,3,3
2014,D23,Crimes Against Property,Break & Enter-Commercial,1,1
2021,D22,Crimes Against Property,Auto Theft,23,23
2016,D12,Crimes Against Property,Theft Over $5000,4,4
2022,D13,Crimes Against Property,Theft Over $5000,4,4
2018,D53,Crimes Against Property,Break & Enter-Other,3,3
2022,D14,Crimes Against Property,Fraud,1,1
2015,D32,Crimes Against Property,Auto Theft,32,32
2021,D14,Crimes Against Property,Theft Over $5000,2,2
2014,D22,Crimes Against Property,Break & Enter-Other,2,2
2023,D12,Crimes Against Property,Theft Over $5000,2,2
2016,D32,Crimes Against Property,Theft Over $5000,3,3
2016,D23,Crimes Against Property,Auto Theft,4,4
2018,D41,Crimes Against Property,Break & Enter-Other,1,1
2019,D32,Crimes Against Property,Break & Enter-Commercial,1,1
2014,D55,Crimes Against Property,Break & Enter-Other,1,1
2020,D53,Crimes Against Property,Theft Under $5000,2,2
2014,D23,Crimes Against Property,Theft Under $5000,1,1
2014,D22,Crimes Against Property,Break & Enter-Commercial,9,9
2014,D22,Crimes Against Property,Break & Enter-House,2,2
2015,D33,Crimes Against Property,Break & Enter-Other,2,2
2017,D14,Crimes Against Property,Break & Enter-House,2,2
2019,D32,Crimes Against Property,Theft Over $5000,15,15
2020,D11,Crimes Against Property,Theft Under $5000,1,1
2021,D23,Crimes Against Property,Break & Enter-Other,1,1
2015,D53,Crimes Against Property,Fraud,2,2
2014,D22,Crimes Against Property,Break & Enter-Apartment,3,3
2018,D51,Crimes Against Property,Break & Enter-Other,14,14
2016,D32,Crimes Against Property,Break & Enter-Apartment,2,2
2021,D33,Crimes Against Property,Break & Enter-Other,1,1
2016,D33,Crimes Against Property,Break & Enter-Commercial,2,2
2015,D31,Crimes Against Property,Auto Theft,18,18
2016,D12,Crimes Against Property,Break & Enter-House,5,5
2021,D12,Crimes Against Property,Theft Over $5000,1,1
2016,D42,Crimes Against Property,Fraud,33,33
2021,D22,Crimes Against Property,Break & Enter-Other,4,4
2015,D32,Crimes Against Property,Auto Theft,16,16
2018,D42,Crimes Against Property,Break & Enter-Other,3,3
2015,D11,Crimes Against Property,Theft Over $5000,1,1
2020,D55,Crimes Against Property,Fraud,43,43
2018,D32,Crimes Against Property,Break & Enter-Other,3,3
2020,D53,Crimes Against Property,Break & Enter-House,4,4
2017,NSA,Crimes Against Property,Fraud,1,1
2023,D22,Crimes Against Property,Theft Over $5000,8,8
2015,D33,Crimes Against Property,Auto Theft,9,9
2016,D55,Crimes Against Property,Theft Under $5000,1,1
2014,D41,Crimes Against Property,Theft Over $5000,1,1
2021,D22,Crimes Against Property,Break & Enter-Other,1,1
2017,D31,Crimes Against Property,Break & Enter-Apartment,3,3
2018,D22,Crimes Against Property,Auto Theft,1,1
2020,D41,Crimes Against Property,Break & Enter-Commercial,1,1
2019,D14,Crimes Against Property,Break & Enter-Other,3,3
2021,D32,Crimes Against Property,Theft Over $5000,2,2
2023,D22,Crimes Against Property,Theft Over $5000,5,5
2015,D43,Crimes Against Property,Theft Over $5000,1,1
2020,D33,Crimes Against Property,Break & Enter-Commercial,6,6
2022,D33,Crimes Against Property,Break & Enter-Other,1,1
2021,D23,Crimes Against Property,Theft Under $5000,5,5
2015,D42,Crimes Against Property,Break & Enter-Other,1,1
2014,D22,Crimes Against Property,Theft Over $5000,3,3
2022,D12,Crimes Against Property,Theft Over $5000,2,2
2014,D32,Crimes Against Property,Break & Enter-House,5,5
2016,D11,Crimes Against Property,Auto Theft,3,3
2014,D11,Crimes Against Property,Break & Enter-Commercial,1,1
2021,D53,Crimes Against Property,Break & Enter-Other,3,3
2018,D33,Crimes Against Property,Break & Enter-Commercial,4,4
2023,D14,Crimes Against Property,Fraud,15,15
2017,D14,Crimes Against Property,Auto Theft,11,11
2015,D42,Crimes Against Property,Auto Theft,13,13
2021,D33,Crimes Against Property,Break & Enter-House,7,7
2021,D52,Crimes Against Property,Break & Enter-Commercial,1,1
2015,D53,Crimes Against Property,Break & Enter-House,4,4
2017,D13,Crimes Against Property,Break & Enter-House,10,10
2022,D11,Crimes Against Property,Theft Over $5000,5,5
2020,D33,Crimes Against Property,Break & Enter-Other,1,1
2018,D55,Crimes Against Property,Theft Over $5000,1,1
2016,D22,Crimes Against Property,Break & Enter-Other,3,3
2014,D53,Crimes Against Property,Other,1,1
2018,D33,Crimes Against Property,Theft Over $5000,3,3
2019,D32,Crimes Against Property,Break & Enter-Commercial,10,10
2021,D42,Crimes Against Property,Break & Enter-Other,2,2
2017,D42,Crimes Against Property,Theft Over $5000,11,11
2022,D22,Crimes Against Property,Break & Enter-Commercial,6,6
2019,D53,Crimes Against Property,Break & Enter-Apartment,1,1
2022,D23,Crimes Against Property,Auto Theft,29,29
2020,D32,Crimes Against Property,Break & Enter-Commercial,5,5
2019,D12,Crimes Against Property,Auto Theft,5,5
2022,D33,Crimes Against Property,Auto Theft,2,2
2020,D23,Crimes Against Property,Break & Enter-Commercial,3,3
2019,D33,Crimes Against Property,Break & Enter-Other,3,3
2021,D55,Crimes Against Property,Theft Over $5000,1,1
2021,D51,Crimes Against Property,Auto Theft,1,1
2018,D22,Crimes Against Property,Break & Enter-Other,2,2
2018,D23,Crimes Against Property,Break & Enter-Commercial,4,4
2023,D12,Crimes Against Property,Theft Over $5000,7,7
2020,D53,Crimes Against Property,Other,1,1
2017,D53,Crimes Against Property,Break & Enter-Other,1,1
2017,D51,Crimes Against Property,Theft Under $5000,1,1
2023,D22,Crimes Against Property,Break & Enter-Apartment,11,11
2022,D13,Crimes Against Property,Break & Enter-Other,2,2
2015,D51,Crimes Against Property,Theft Over $5000,5,5
2022,D55,Crimes Against Property,Break & Enter-Other,2,2
2016,D11,Crimes Against Property,Break & Enter-Apartment,1,1
2017,D32,Crimes Against Property,Break & Enter-Other,1,1
2020,D11,Crimes Against Property,Theft Over $5000,4,4
2020,D31,Crimes Against Property,Fraud,5,5
2016,D23,Crimes Against Property,Fraud,1,1
2016,D23,Crimes Against Property,Theft Over $5000,5,5
2020,D13,Crimes Against Property,Fraud,2,2
2023,D55,Crimes Against Property,Theft Under $5000,21,21
2019,D31,Crimes Against Property,Auto Theft,48,48
2020,D23,Crimes Against Property,Theft Under $5000,12,12
2018,D52,Crimes Against Property,Break & Enter-Commercial,1,1
2021,D32,Crimes Against Property,Fraud,44,44
2021,D22,Crimes Against Property,Other,1,1
2016,D32,Crimes Against Property,Break & Enter-Apartment,5,5
2023,D23,Crimes Against Property,Break & Enter-Other,1,1
2022,D33,Crimes Against Property,Fraud,28,28
2015,D33,Crimes Against Property,Break & Enter-House,6,6
2016,D11,Crimes Against Property,Break & Enter-Other,2,2
2019,D32,Crimes Against Property,Break & Enter-Apartment,14,14
2019,D42,Crimes Against Property,Theft Over $5000,3,3
2020,D52,Crimes Against Property,Break & Enter-Commercial,1,1
2016,D11,Crimes Against Property,Break & Enter-Other,2,2
2018,D41,Crimes Against Property,Break & Enter-Other,1,1
2021,D32,Crimes Against Property,Break & Enter-House,5,5
2014,D53,Crimes Against Property,Theft Over $5000,3,3
2015,D13,Crimes Against Property,Theft Over $5000,3,3
2016,D42,Crimes Against Property,Break & Enter-House,11,11
2019,D11,Crimes Against Property,Break & Enter-House,4,4
2014,D13,Crimes Against Property,Break & Enter-Commercial,2,2
2018,D11,Crimes Against Property,Break & Enter-Commercial,2,2
2022,D13,Crimes Against Property,Break & Enter-Commercial,1,1
2023,D43,Crimes Against Property,Auto Theft,46,46
2017,D41,Crimes Against Property,Fraud,1,1
2016,D14,Crimes Against Property,Break & Enter-Other,2,2
2023,D22,Crimes Against Property,Break & Enter-Other,4,4
2014,D31,Crimes Against Property,Break & Enter-Other,2,2
2014,D42,Crimes Against Property,Break & Enter-Commercial,4,4
2023,D22,Crimes Against Property,Theft Over $5000,10,10
2014,D32,Crimes Against Property,Break & Enter-House,16,16
2022,D52,Crimes Against Property,Theft Under $5000,1,1
2014,D14,Crimes Against Property,Theft Under $5000,1,1
2015,D22,Crimes Against Property,Break & Enter-Other,1,1
2014,D23,Crimes Against Property,Auto Theft,3,3
2017,D14,Crimes Against Property,Break & Enter-Other,4,4
2017,D43,Crimes Against Property,Auto Theft,22,22
2018,D33,Crimes Against Property,Break & Enter-Commercial,3,3
2023,D32,Crimes Against Property,Break & Enter-Other,2,2
2022,D22,Crimes Against Property,Theft Over $5000,3,3
2023,D12,Crimes Against Property,Break & Enter-Apartment,4,4
2019,D22,Crimes Against Property,Break & Enter-House,8,8
2023,D33,Crimes Against Property,Theft Over $5000,8,8
2020,D14,Crimes Against Property,Break & Enter-Other,1,1
2023,D23,Crimes Against Property,Break & Enter-Commercial,1,1
2020,D51,Crimes Against Property,Break & Enter-Apartment,2,2
2016,D41,Crimes Against Property,Break & Enter-Apartment,4,4
2021,D13,Crimes Against Property,Break & Enter-Commercial,2,2
2023,D52,Crimes Against Property,Fraud,15,15
2019,D32,Crimes Against Property,Break & Enter-House,22,22
2019,D42,Crimes Against Property,Break & Enter-Commercial,13,13
2021,D23,Crimes Against Property,Theft Under $5000,1,1
2017,D14,Crimes Against Property,Break & Enter-Commercial,3,3
2016,D14,Crimes Against Property,Break & Enter-Other,3,3
2022,D41,Crimes Against Property,Auto Theft,5,5
2018,D32,Crimes Against Property,Break & Enter-Other,4,4
2016,D22,Crimes Against Property,Break & Enter-Other,1,1
2018,D23,Crimes Against Property,Theft Under $5000,5,5
2015,D53,Crimes Against Property,Auto Theft,12,12
2018,D55,Crimes Against Property,Break & Enter-Other,1,1
2014,NSA,Crimes Against Property,Theft Under $5000,1,1
2017,D22,Crimes Against Property,Break & Enter-Commercial,2,2
2019,D53,Crimes Against Property,Break & Enter-House,1,1
2014,D22,Crimes Against Property,Theft Over $5000,3,3
2023,D11,Crimes Against Property,Break & Enter-Commercial,5,5
2017,D23,Crimes Against Property,Break & Enter-Apartment,5,5
2021,D43,Crimes Against Property,Break & Enter-House,2,2
2020,D32,Crimes Against Property,Theft Under $5000,1,1
2019,D43,Crimes Against Property,Break & Enter-House,2,2
2021,D42,Crimes Against Property,Break & Enter-Other,2,2
2015,NSA,Crimes Against Property,Fraud,1,1
2017,D42,Crimes Against Property,Break & Enter-Other,2,2
2015,D52,Crimes Against Property,Fraud,9,9
2022,D55,Crimes Against Property,Theft Over $5000,3,3
2022,D22,Crimes Against Property,Break & Enter-House,1,1
2017,D43,Crimes Against Property,Fraud,18,18
2015,D13,Crimes Against Property,Theft Under $5000,1,1
2021,D55,Crimes Against Property,Break & Enter-Apartment,1,1
2016,D53,Crimes Against Property,Break & Enter-Other,1,1
2017,D51,Crimes Against Property,Auto Theft,1,1
2023,D13,Crimes Against Property,Theft Over $5000,2,2
2022,D53,Crimes Against Property,Break & Enter-House,2,2
2017,D33,Crimes Against Property,Theft Over $5000,10,10
2016,D41,Crimes Against Property,Break & Enter-Other,3,3
2019,D33,Crimes Against Property,Break & Enter-Commercial,5,5
2020,D23,Crimes Against Property,Theft Under $5000,1,1
2021,D11,Crimes Against Property,Auto Theft,5,5
2021,D32,Crimes Against Property,Theft Over $5000,6,6
2019,D32,Crimes Against Property,Break & Enter-Other,1,1
2017,D51,Crimes Against Property,Theft Over $5000,7,7
2015,D13,Crimes Against Property,Break & Enter-Apartment,11,11
2023,D32,Crimes Against Property,Break & Enter-Commercial,3,3
2016,D43,Crimes Against Property,Break & Enter-Other,2,2
2023,D13,Crimes Against Property,Theft Over $5000,8,8
2020,D14,Crimes Against Property,Theft Under $5000,3,3
2020,D11,Crimes Against Property,Break & Enter-Other,1,1
2017,D55,Crimes Against Property,Break & Enter-House,1,1
2016,D11,Crimes Against Property,Break & Enter-Commercial,2,2
2021,D53,Crimes Against Property,Break & Enter-Other,1,1
2022,D51,Crimes Against Property,Break & Enter-Apartment,1,1
2017,D32,Crimes Against Property,Break & Enter-Other,1,1
2016,D11,Crimes Against Property,Theft Over $5000,6,6
2021,D33,Crimes Against Property,Break & Enter-House,1,1
2018,D52,Crimes Against Property,Break & Enter-House,1,1
2015,D23,Crimes Against Property,Fraud,3,3
2017,D41,Crimes Against Property,Auto Theft,6,6
2014,D23,Crimes Against Property,Fraud,2,2
2015,D14,Crimes Against Property,Theft Over $5000,1,1
2021,D33,Crimes Against Property,Break & Enter-Other,1,1
2015,D55,Crimes Against Property,Break & Enter-Other,1,1
2018,D32,Crimes Against Property,Break & Enter-Commercial,2,2
2023,D23,Crimes Against Property,Theft Over $5000,14,14
2015,D32,Crimes Against Property,Break & Enter-Other,4,4
2018,D33,Crimes Against Property,Break & Enter-Apartment,1,1
2016,D53,Crimes Against Property,Theft Over $5000,4,4
2015,D23,Crimes Against Property,Break & Enter-Commercial,1,1
2021,D13,Crimes Against Property,Break & Enter-Apartment,9,9
2017,D14,Crimes Against Property,Break & Enter-Other,4,4
2019,D33,Crimes Against Property,Theft Over $5000,1,1
2023,D22,Crimes Against Property,Break & Enter-Other,2,2
2021,D33,Crimes Against Property,Theft Over $5000,6,6
2014,D13,Crimes Against Property,Break & Enter-Commercial,2,2
2022,D42,Crimes Against Property,Break & Enter-Commercial,6,6
2014,D14,Crimes Against Property,Theft Over $5000,2,2
2019,D43,Crimes Against Property,Theft Over $5000,1,1
2015,D41,Crimes Against Property,Auto Theft,17,17
2018,D53,Crimes Against Property,Break & Enter-Other,1,1
2017,D33,Crimes Against Property,Break & Enter-Commercial,3,3
2018,D22,Crimes Against Property,Theft Over $5000,3,3
2023,D32,Crimes Against Property,Theft Over $5000,12,12
2018,D33,Crimes Against Property,Other,1,1
2020,D53,Crimes Against Property,Auto Theft,13,13
2019,D42,Crimes Against Property,Auto Theft,2,2
2022,D43,Crimes Against Property,Fraud,4,4
2020,D55,Crimes Against Property,Break & Enter-Other,2,2
2022,D53,Crimes Against Property,Break & Enter-Commercial,11,11
2020,D53,Crimes Against Property,Break & Enter-House,9,9
2014,D42,Crimes Against Property,Auto Theft,7,7
2022,D22,Crimes Against Property,Theft Over $5000,2,2
2023,D53,Crimes Against Property,Fraud,14,14
2019,D41,Crimes Against Property,Break & Enter-House,2,2
2016,D53,Crimes Against Property,Auto Theft,1,1
2019,D23,Crimes Against Property,Theft Over $5000,5,5
2020,D51,Crimes Against Property,Theft Over $5000,9,9
2017,D41,Crimes Against Property,Theft Over $5000,1,1
2015,D33,Crimes Against Property,Break & Enter-Commercial,4,4
2016,D13,Crimes Against Property,Break & Enter-Apartment,7,7
2015,D53,Crimes Against Property,Theft Under $5000,15,15
2022,D53,Crimes Against Property,Other,5,5
2016,D53,Crimes Against Property,Theft Over $5000,1,1
2022,D53,Crimes Against Property,Theft Over $5000,2,2
2019,D13,Crimes Against Property,Theft Over $5000,2,2
2021,D12,Crimes Against Property,Theft Under $5000,2,2
2020,D53,Crimes Against Property,Break & Enter-Other,2,2
2023,D53,Crimes Against Property,Break & Enter-Other,3,3
2015,D53,Crimes Against Property,Fraud,1,1
2021,D13,Crimes Against Property,Auto Theft,39,39
2023,D33,Crimes Against Property,Break & Enter-Apartment,1,1
2015,D32,Crimes Against Property,Break & Enter-Other,2,2
2016,D55,Crimes Against Property,Auto Theft,2,2
2023,D52,Crimes Against Property,Auto Theft,1,1
2016,D53,Crimes Against Property,Auto Theft,3,3
2022,D41,Crimes Against Property,Theft Over $5000,2,2
2014,D22,Crimes Against Property,Break & Enter-Commercial,2,2
2015,D55,Crimes Against Property,Theft Over $5000,5,5
2021,D23,Crimes Against Property,Theft Under $5000,14,14
2021,D23,Crimes Against Property,Auto Theft,2,2
2014,D33,Crimes Against Property,Break & Enter-Apartment,2,2
2023,D41,Crimes Against Property,Theft Over $5000,5,5
2021,D33,Crimes Against Property,Auto Theft,27,27
2022,D52,Crimes Against Property,Fraud,17,17
2019,D31,Crimes Against Property,Break & Enter-House,5,5
2023,D42,Crimes Against Property,Break & Enter-Commercial,8,8
2015,D12,Crimes Against Property,Break & Enter-Commercial,2,2
2019,D53,Crimes Against Property,Break & Enter-Other,2,2
2015,D51,Crimes Against Property,Break & Enter-House,1,1
2019,D55,Crimes Against Property,Break & Enter-Other,1,1
2015,D23,Crimes Against Property,Break & Enter-Other,1,1
2018,D14,Crimes Against Property,Break & Enter-Commercial,1,1
2016,D42,Crimes Against Property,Auto Theft,38,38
2015,D32,Crimes Against Property,Break & Enter-Commercial,10,10
2016,D55,Crimes Against Property,Break & Enter-House,5,5
2021,D14,Crimes Against Property,Break & Enter-Other,1,1
2018,D41,Crimes Against Property,Break & Enter-Apartment,1,1
2017,D14,Crimes Against Property,Fraud,1,1
2016,D42,Crimes Against Property,Theft Over $5000,2,2
2015,D23,Crimes Against Property,Theft Under $5000,1,1
2015,D11,Crimes Against Property,Theft Over $5000,1,1
2023,D55,Crimes Against Property,Fraud,1,1
